Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
NMB139,0.226059170084144,0,0.135839831947885,0.33983331115546,0,0.218957470298387,0,0.0708114614564236,0.0710065796491114,0,0.0631522400254685,0.0554647230336332,0.235962734144844,0.119803909658072,0.0282213252529953,0.423748015026061,0,0,0.0736851474818308,0.0807009414418121,0,0.0485153281306966,0,0.383539340576686,0.923111354316226,2.19176218878682
NMB140,0.185409137065734,0,0.0926131035699484,0.221746131739944,0,0.219729251034775,0,0.0107848888195342,0.0946196471264421,0,0.0599576501121924,0.104474595092232,0.112662459455007,0.0438515989678741,0.0254859746315329,0.345190116319013,0.0353588880142239,0,0.0128104429479991,0.112866817454351,0.0201331153264604,0,0,0.341121562116204,0.943474063863539,1.69769381767726
NMB144,0.126691288695007,0,0.0956354508943182,0.436154001292004,0,0.149194859222725,0,0.0322225768877959,0.160617771801525,0,0.0196567535385557,0.188753397416833,0.134353093485187,0.0753954694580013,0.0202261612663867,0.311533399489697,0.0089790509544741,0.000723620221548466,0,0.42571300662198,0.026048541875038,0.00166101191410299,0.01,0.214254945582639,1.01314582706856,2.21355945503518
NMB149,0.133864924119139,0,0.0402383349510337,0.26739955527054,0,0.0789025592638832,0,0.0719511682172291,0.0464169358045161,0,0.101081216456012,0.14247345594183,0.110268146287492,0.176063329314581,0.0763484767767907,0.317541292171686,0.0376372609054247,0,0.0287310312394411,0.104589570265818,0,0,0,0.499215386287923,0.866374948130409,1.73350725698542
NMB151,0.120611486715779,0,0.0427028302386185,0.483488254076622,0,0.096933612235593,0.0447191061449086,0.0467082098697365,0.107941949027544,0,0.0391946215383168,0.0819452939144046,0.135287105729094,0.0386130190437013,0.0162376189569317,0.366366664472546,0.0127484915390008,0.00157880693665776,0,0.176294600816457,0.0330487540759382,0,0,0.303794206591204,0.965166237208406,1.84442042533185
NMB153,0.084684044494256,0.0558482430394054,0.00649335441510421,0.155562834866336,0,0.262081673074243,0,0.0678575189121451,0.0938967519478591,0,0,0.361271333923767,0.120004448665833,0.141189955015461,0.0491914396863865,0.204729488082383,0.0108738374946622,0,0,0.219510304432562,0.0128116350391077,0,0,0.511729127208453,0.85871596742651,1.84600686308951
NMB155,0.0821597396363617,0.0274999503712857,0.00882268000507701,0.080252167414409,0,0.261170454055048,0,0.132936930586084,0,0,0,0.233381347035782,0.313188663417779,0,0.0322118679068168,0.200844700473317,0.00205893865224643,0.00859216301732734,0,0.844383680177948,0.0369759031528,0.0164113193356828,0,0.611638808296064,0.791174290331856,2.28089050523796
NMB156,0.0367641651754523,0.0690707421721964,0.0270939786124223,0.176354664612936,0,0.237279944879345,0,0.0509786311005691,0.0823671714156413,0,0,0.108823205923271,0.113440123681081,0.0475875427851587,0.0513881743439122,0.393615809392887,0.0210014121153939,0,0,0.205315065156918,0.0186568457571578,0,0,0.452734398486076,0.890690733425617,1.63973747712434
NMB157,0.123358189049692,0,0.10041672467525,0.11937826750443,0,0.23529641970723,0,0.0990449382386988,0.0723931857770825,0,0.073306340672424,0.0520891587074586,0.0852431140355926,0.126194503940391,0.0558947499197671,0.300481365726746,0.0130740267104344,0,0.0353104291481705,0.11146149688902,0.0519944095331386,0,0,0.308792944128716,0.955796852373389,1.65493732023553
NMB158,0.0606069549465765,0.00788717152739884,0,0.126097006680261,0,0.416292622744468,0,0.076622458945826,0,0.0792909824084729,0,0.130587243537477,0.170634681731481,0,0.0946515169049914,0.441402367275622,0.00196852724581276,0,0,0.96550481905419,0,0.0194952121594452,0,0.618225148803152,0.787377416850146,2.59104156516202
NMB165,0.121847900849602,0,0.070732377938039,0.337103614905592,0,0.0449626552712263,0,0.10900122980551,0.120371208121,0,0.128154663775384,0.04109771304725,0.122251336755398,0.0549926940038013,0.0389947945940176,0.395556629791006,0.0128952669244302,0,0,0.194253522421534,0.0392554980081198,0,0,0.329525063535011,0.949589715651972,1.83147110621191
NMB169,0.0824280572866272,0,0.0378142924832868,0.187266391448102,0,0.1515741418705,0,0.0421690949394318,0.126031223374396,0,0.0224958516981341,0.118043259523768,0.0763658886361732,0.163469906645125,0.030329341556955,0.26210518152895,0.0399481861418237,0.0188339767339622,0.000528385836650799,0.100605291987734,0.103233611807675,0,0,0.446867393274539,0.893636784861088,1.56324208349929
NMB17,0.0739448619644969,0.0806777301885364,0.0498512137081966,0.345277216108962,0,0.112359480287574,0,0.175566145395917,0.0717513248572942,0.0366791902039598,0,0.109773346116478,0.579973998660712,0.123991080239154,0.0544408881862088,0.135648833557276,0,0,0,1.55322133409624,0.0425073350578731,0.0670942403228737,0,0.623560831264439,0.781984501554299,3.61275821895175
NMB171,0.238864630440453,0,0.067340127524016,0.259067733908358,0,0.0831797893020546,0.0184108855005141,0.0593932635580185,0.134353389879453,0,0.132553611396717,0.00597202795882077,0.0753327476844413,0.38279268893084,0.0423755786576974,0.449650296432954,0,0,0.0350401000706598,0.150945849519204,0.113499489317813,0,0,0.567676008042995,0.833230339893061,2.24877221008201
NMB173,0.0603520881734917,0,0.00249681592118812,0.162175574518902,0,0.201845842651488,0,0.0707005466779462,0.0270975961782352,0,0.000941582433545255,0.093951003274821,0.102494828780809,0.0803059826147857,0.0542142414047542,0.357786395582896,0.00686218366529193,0,0,0.832506602097402,0.0157037182376292,0,0,0.6724679515181,0.745447130805071,2.06943500221319
